morphotype	id	mass	count
tangerine	tangerine	188.5	165
opaque.red	very.cherry	181.5	159
translucent.red	red.apple	74	65
red.blue.specs	strawberry.jam	44	38
popcorn	buttered.popcorn	32.5	28
translucent.light.green	sour.apple	32	27
opaque.blue	blueberry	31.5	27
translucent.yellow	crushed.pineapple	27	23
white.brown.specs	toasted.marshmallow	25.5	22
pickle	watermellon	22.5	19
red.brown	rasberry	22	18
bubblegum	tuttifruitti	22.5	18
translucent.medium.green	kiwi	21.5	18
organge.red.speckles	peach	20	16
opaque.orange	organge.sherbert	16.5	13
tranlucent.pink	cotton.cand	16	12
peach.colored	pink.grapefruit	13	10
translucent.blue	berry.blue	12.5	9
opaque.light.pink	bubble.gum	11.5	9
yellow.brown.specs	top.banana	10	7
green.green.specs	juicy.pear	9.5	7
pure.white	coconut	7.5	5
opaque.light.green	lemon.lime	7	4
blight.darkblue.specs	mixed.berry.smoothie	5	3
off.white	cream.soda	4.5	2
opaque.purple	island.punch	3.5	1
